dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,44,10,a1,output_weight_norm,baseline,119,0.8165602684020996
MNIST,medium,44,10,a1,output_weight_norm,baseline,120,0.985832929611206
MNIST,medium,44,10,a1,output_weight_norm,baseline,121,1.332043170928955
MNIST,medium,44,10,a1,output_weight_norm,baseline,122,0.8951995372772217
MNIST,medium,44,10,a1,output_weight_norm,baseline,123,0.7658933997154236
MNIST,medium,44,10,a1,output_weight_norm,baseline,124,1.066357135772705
MNIST,medium,44,10,a1,output_weight_norm,baseline,125,1.174060583114624
MNIST,medium,44,10,a1,output_weight_norm,baseline,126,1.0944886207580566
MNIST,medium,44,10,a1,output_weight_norm,baseline,127,0.8214643001556396
MNIST,medium,44,10,a1,output_weight_norm,baseline,128,0.9528374075889587
MNIST,medium,44,10,a1,output_weight_norm,baseline,129,1.0627810955047607
MNIST,medium,44,10,a1,output_weight_norm,baseline,130,0.9331761002540588
MNIST,medium,44,10,a1,output_weight_norm,baseline,131,0.9241620302200317
MNIST,medium,44,10,a1,output_weight_norm,baseline,132,1.2331559658050537
MNIST,medium,44,10,a1,output_weight_norm,baseline,133,1.0123225450515747
MNIST,medium,44,10,a1,output_weight_norm,baseline,134,1.1880656480789185
MNIST,medium,44,10,a1,output_weight_norm,baseline,135,0.7725734710693359
MNIST,medium,44,10,a1,output_weight_norm,baseline,136,1.2777386903762817
MNIST,medium,44,10,a1,output_weight_norm,baseline,137,0.7988479137420654
MNIST,medium,44,10,a1,output_weight_norm,baseline,138,1.0912418365478516
MNIST,medium,44,10,a1,output_weight_norm,baseline,139,1.068921446800232
MNIST,medium,44,10,a1,output_weight_norm,baseline,140,0.9384515881538391
MNIST,medium,44,10,a1,output_weight_norm,baseline,141,0.9523681402206421
MNIST,medium,44,10,a1,output_weight_norm,baseline,142,1.0222395658493042
MNIST,medium,44,10,a1,output_weight_norm,baseline,143,0.8187272548675537
MNIST,medium,44,10,a1,output_weight_norm,baseline,144,1.1178511381149292
MNIST,medium,44,10,a1,output_weight_norm,baseline,145,0.5797301530838013
MNIST,medium,44,10,a1,output_weight_norm,baseline,146,0.7060697674751282
MNIST,medium,44,10,a1,output_weight_norm,baseline,147,1.0690995454788208
