dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,43,10,a1,output_weight_norm,baseline,99,0.8916289806365967
MNIST,medium,43,10,a1,output_weight_norm,baseline,100,0.9600658416748047
MNIST,medium,43,10,a1,output_weight_norm,baseline,101,1.1427810192108154
MNIST,medium,43,10,a1,output_weight_norm,baseline,102,0.9890307188034058
MNIST,medium,43,10,a1,output_weight_norm,baseline,103,0.4439774751663208
MNIST,medium,43,10,a1,output_weight_norm,baseline,104,0.9299996495246887
MNIST,medium,43,10,a1,output_weight_norm,baseline,105,0.9349815845489502
MNIST,medium,43,10,a1,output_weight_norm,baseline,106,0.95134437084198
MNIST,medium,43,10,a1,output_weight_norm,baseline,107,0.7882566452026367
MNIST,medium,43,10,a1,output_weight_norm,baseline,108,0.8419672250747681
MNIST,medium,43,10,a1,output_weight_norm,baseline,109,1.1144434213638306
MNIST,medium,43,10,a1,output_weight_norm,baseline,110,1.023140788078308
MNIST,medium,43,10,a1,output_weight_norm,baseline,111,1.0801714658737183
MNIST,medium,43,10,a1,output_weight_norm,baseline,112,1.0624555349349976
MNIST,medium,43,10,a1,output_weight_norm,baseline,113,0.9240813255310059
MNIST,medium,43,10,a1,output_weight_norm,baseline,114,0.9364780187606812
MNIST,medium,43,10,a1,output_weight_norm,baseline,115,0.8960831165313721
MNIST,medium,43,10,a1,output_weight_norm,baseline,116,1.0558526515960693
MNIST,medium,43,10,a1,output_weight_norm,baseline,117,0.9619401097297668
MNIST,medium,43,10,a1,output_weight_norm,baseline,118,0.9513005018234253
MNIST,medium,43,10,a1,output_weight_norm,baseline,119,1.1421396732330322
MNIST,medium,43,10,a1,output_weight_norm,baseline,120,0.7621110081672668
MNIST,medium,43,10,a1,output_weight_norm,baseline,121,1.017136573791504
MNIST,medium,43,10,a1,output_weight_norm,baseline,122,0.9930818676948547
MNIST,medium,43,10,a1,output_weight_norm,baseline,123,0.9509515762329102
MNIST,medium,43,10,a1,output_weight_norm,baseline,124,0.41035881638526917
MNIST,medium,43,10,a1,output_weight_norm,baseline,125,1.0705065727233887
MNIST,medium,43,10,a1,output_weight_norm,baseline,126,1.4415117502212524
MNIST,medium,43,10,a1,output_weight_norm,baseline,127,0.7605222463607788
MNIST,medium,43,10,a1,output_weight_norm,baseline,128,0.9690121412277222
MNIST,medium,43,10,a1,output_weight_norm,baseline,129,0.7525362968444824
MNIST,medium,43,10,a1,output_weight_norm,baseline,130,1.0497546195983887
MNIST,medium,43,10,a1,output_weight_norm,baseline,131,0.7135787606239319
MNIST,medium,43,10,a1,output_weight_norm,baseline,132,1.1475204229354858
MNIST,medium,43,10,a1,output_weight_norm,baseline,133,1.019187092781067
MNIST,medium,43,10,a1,output_weight_norm,baseline,134,0.873182475566864
MNIST,medium,43,10,a1,output_weight_norm,baseline,135,1.1754729747772217
MNIST,medium,43,10,a1,output_weight_norm,baseline,136,0.9935895800590515
MNIST,medium,43,10,a1,output_weight_norm,baseline,137,1.2252991199493408
MNIST,medium,43,10,a1,output_weight_norm,baseline,138,0.8887860774993896
MNIST,medium,43,10,a1,output_weight_norm,baseline,139,1.5752393007278442
MNIST,medium,43,10,a1,output_weight_norm,baseline,140,0.3939030170440674
MNIST,medium,43,10,a1,output_weight_norm,baseline,141,1.2228379249572754
MNIST,medium,43,10,a1,output_weight_norm,baseline,142,1.0357662439346313
MNIST,medium,43,10,a1,output_weight_norm,baseline,143,0.9680253863334656
MNIST,medium,43,10,a1,output_weight_norm,baseline,144,0.3958432376384735
MNIST,medium,43,10,a1,output_weight_norm,baseline,145,1.0875543355941772
MNIST,medium,43,10,a1,output_weight_norm,baseline,146,1.3381574153900146
MNIST,medium,43,10,a1,output_weight_norm,baseline,147,1.3713569641113281
MNIST,medium,43,10,a1,output_weight_norm,baseline,148,0.9185014963150024
MNIST,medium,43,10,a1,output_weight_norm,baseline,149,0.8118070960044861
MNIST,medium,43,10,a1,output_weight_norm,baseline,150,0.41666939854621887
MNIST,medium,43,10,a1,output_weight_norm,baseline,151,1.0115559101104736
MNIST,medium,43,10,a1,output_weight_norm,baseline,152,1.2690922021865845
MNIST,medium,43,10,a1,output_weight_norm,baseline,153,0.4097002446651459
MNIST,medium,43,10,a1,output_weight_norm,baseline,154,0.41003796458244324
MNIST,medium,43,10,a1,output_weight_norm,baseline,155,1.1052565574645996
MNIST,medium,43,10,a1,output_weight_norm,baseline,156,1.4429831504821777
MNIST,medium,43,10,a1,output_weight_norm,baseline,157,1.1521120071411133
MNIST,medium,43,10,a1,output_weight_norm,baseline,158,0.8336062431335449
MNIST,medium,43,10,a1,output_weight_norm,baseline,159,0.8333225846290588
MNIST,medium,43,10,a1,output_weight_norm,baseline,160,0.9902573227882385
MNIST,medium,43,10,a1,output_weight_norm,baseline,161,0.5265735387802124
MNIST,medium,43,10,a1,output_weight_norm,baseline,162,1.114071011543274
MNIST,medium,43,10,a1,output_weight_norm,baseline,163,0.9239464998245239
MNIST,medium,43,10,a1,output_weight_norm,baseline,164,1.1943331956863403
MNIST,medium,43,10,a1,output_weight_norm,baseline,165,1.1188206672668457
MNIST,medium,43,10,a1,output_weight_norm,baseline,166,1.1264101266860962
MNIST,medium,43,10,a1,output_weight_norm,baseline,167,0.7911981344223022
MNIST,medium,43,10,a1,output_weight_norm,baseline,168,1.0906178951263428
MNIST,medium,43,10,a1,output_weight_norm,baseline,169,1.1903691291809082
MNIST,medium,43,10,a1,output_weight_norm,baseline,170,0.7130357623100281
MNIST,medium,43,10,a1,output_weight_norm,baseline,171,0.8873543739318848
MNIST,medium,43,10,a1,output_weight_norm,baseline,172,0.8827944993972778
MNIST,medium,43,10,a1,output_weight_norm,baseline,173,0.866487979888916
MNIST,medium,43,10,a1,output_weight_norm,baseline,174,0.9252834320068359
